Date,Symbols,Close,High,Low,Open,Volume
2020-01-02,GOOGL,68.434,68.434,67.3245,67.4205,27285300.0
2020-01-02,PFE,35.0488,35.2381,34.8126,35.1943,17497038.718901
2020-01-02,BNTX,38.1343,38.1343,35.0241,35.4104,141010.46406683
2020-01-02,MRNA,19.23,19.81,18.88,19.57,1229434.0
2020-01-03,GOOGL,68.076,68.6875,67.366,67.4,23412580.0
2020-01-03,PFE,34.8605,35.1395,34.6272,34.674,15813071.696774
2020-01-03,BNTX,39.6696,40.8583,36.074,37.639,177733.29572098
2020-01-03,MRNA,18.89,19.36,18.72,19.02,1750976.0
2020-01-06,GOOGL,69.8905,69.916,67.55,67.5815,46786860.0
2020-01-06,PFE,34.8165,34.9249,34.6565,34.7629,16710810.904167
2020-01-06,BNTX,44.1565,44.5725,39.7191,39.729,336482.25850017
2020-01-06,MRNA,18.13,18.74,18.01,18.7,1606505.0
2020-01-07,GOOGL,69.7555,70.175,69.578,70.023,34529120.0
2020-01-07,PFE,34.7004,35.0391,34.6369,35.0321,21336439.754789
2020-01-07,BNTX,42.9283,48.386,40.7888,46.9497,567776.33018519
2020-01-07,MRNA,17.78,18.32,17.68,18.15,1461935.0
2020-01-08,GOOGL,70.252,70.5925,69.6315,69.741,35325480.0
2020-01-08,PFE,34.9776,35.121,34.7004,34.7092,17379766.544718
2020-01-08,BNTX,44.6716,45.8899,43.7603,43.8792,195805.96876879
2020-01-08,MRNA,17.98,18.08,17.76,17.99,1041551.0
2020-01-09,GOOGL,70.9895,71.434,70.5105,71.0965,33228760.0
2020-01-09,PFE,34.8253,35.1649,34.7356,35.1649,23279495.41555
2020-01-09,BNTX,42.859,46.2663,42.3043,46.1078,237171.90546438
2020-01-09,MRNA,18.4,18.55,17.9,18.0,1531344.0
2020-01-10,GOOGL,71.448,71.747,70.98,71.4735,26263560.0
2020-01-10,PFE,35.3631,35.4831,34.8975,34.9073,22840020.127939
2020-01-10,BNTX,39.3031,44.5626,37.8471,44.5626,372679.09369278
2020-01-10,MRNA,19.14,21.0,19.05,21.0,4504819.0
2020-01-13,GOOGL,72.0015,72.074,71.2685,71.7625,30746340.0
2020-01-13,PFE,35.2918,35.6168,35.1133,35.4791,16308286.798092
2020-01-13,BNTX,37.4707,40.9275,34.9251,40.6204,464000.55997212
2020-01-13,MRNA,20.26,20.36,18.6,19.26,2207943.0
2020-01-14,GOOGL,71.5295,72.1315,71.3885,72.0,26112720.0
2020-01-14,PFE,35.8833,35.892,35.1943,35.3084,22165199.187947
2020-01-14,BNTX,34.202,35.138,32.9044,34.9647,268897.26593889
2020-01-14,MRNA,20.0,20.4979,19.55,20.45,1782859.0
2020-01-15,GOOGL,71.96,72.039,71.583,71.651,21550380.0
2020-01-15,PFE,36.42,36.5985,35.973,35.9895,25349153.011398
2020-01-15,BNTX,34.2218,39.4715,33.2808,34.9647,364484.25054832
2020-01-15,MRNA,20.24,20.58,19.94,19.94,2054963.0
2020-01-16,GOOGL,72.508,72.535,72.0,72.2725,26080800.0
2020-01-16,PFE,36.3653,36.5312,36.1096,36.5272,17181070.816356
2020-01-16,BNTX,31.9437,35.559,30.9779,35.4104,698823.149187
2020-01-16,MRNA,21.01,21.87,20.77,21.68,4928102.0
2020-01-17,GOOGL,73.976,74.0275,72.8275,73.127,52423500.0
2020-01-17,PFE,36.2755,36.5399,36.1965,36.3312,24457165.363362
2020-01-17,BNTX,32.8648,33.2808,30.0419,32.7361,621160.4278752
2020-01-17,MRNA,20.62,21.5,20.55,21.5,3348525.0
